AMTRAK,IYR,IMO,RAILROAD,INCDTNO,IYR2,IMO2,RR2,INCDTNO2,IYR3,IMO3,RR3,INCDTNO3,DUMMY1,CASINJRR,GXID,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,AMPM,STATION,COUNTY,STATE,REGION,DUMMY2,CITY,HIGHWAY,VEHSPD,TYPVEH,VEHDIR,POSITION,RREQUIP,RRCAR,TYPACC,HAZARD,TEMP,VISIBLTY,WEATHER,TYPEQ,TYPTRK,TRKNAME,TRKCLAS,NBRLOCOS,NBRCARS,TRNSPD,TYPSPD,TRNDIR,SIGNAL,LOCWARN,WARNSIG,LIGHTS,STANDVEH,TRAIN2,MOTORIST,VIEW,VEHDMG,DRIVER,INVEH,TOTKLD,TOTINJ,TOTOCC,INCDRPT,JOINTCD,TYPRR,DUMMY3,CASKLDRR,DUMMY4,CROSSING,NARRLEN,DUMMY5,YEAR4,DIVISION,PUBLIC,CNTYCD,STCNTY,HZMRLSED,HZMNAME,HZMQNTY,HZMMEAS,SIGWARNX,WHISBAN,DRIVAGE,DRIVGEN,PLEONTRN,SSB1,SSB2,USERKLD,USERINJ,RREMPKLD,RREMPINJ,PASSKLD,PASSINJ,NARR1,NARR2,NARR3,NARR4,NARR5,combtxt,SUBDIV,ROADCOND,VIDEOT,VIDEOU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111690,,,,,13,1,CSX,111690,,0,050381C,13,1,7,3,35,PM,UNION CITY,FULTON,13,3,,UNION CITY,WEST BROOK PL.,0,A,4,1,1,1,1,4,55,2,2,1,1,SINGLE MAIN,4,2,60,40,E,2,1,1,2,1,2,2,5,8,2800,3,2,0,0,0,2,1,1L,,0,,102030607,134,,2013,,Y,121,13C121,4,,,,,,,1,2,,,0,0,0,0,0,0,Q67907 STRUCK AN UNOCCUPIED 2005 TOYOTA CAMRY THAT HAD RAN OFF THE ROAD AND GOT STUCK ON THE TRACK A,T CROSSING. AGE OF DRIVER UNKNOWN.,,,,Q67907 STRUCK AN UNOCCUPIED 2005 TOYOTA CAMRY THAT HAD RAN OFF THE ROAD AND GOT STUCK ON THE TRACK A T CROSSING. AGE OF DRIVER UNKNOWN.   ,AWP W OF A,A,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111768,,,,,13,1,CSX,111768,,1,339698Y,13,1,9,12,25,PM,PENSACOLA,ESCAMBIA,12,3,,PENSACOLA,JOHNSON   AVE,,K,2,3,1,1,1,2,65,2,1,1,1,SINGLE MAIN,4,2,60,31,E,2,1,1,2,2,,2,5,8,0,,,0,1,0,2,1,1L,,0,,1030611,500,,2013,,Y,33,12C033,4,,,,,,19,1,2,,,0,1,0,0,0,0,Q60908 WAS APPROACHING CROSSING AND SAW A TRESPASSER WALKING WITH HIS BACK TURNED TO THE TRAIN. THE,ENGINEER BLEW THE HORN TO WARN THE TRESPASSER THE TRAIN WAS APPROACHING. UPON REACHING THE CROSSING,THE TRESPASSER STEPPED FROM BETWEEN THE RAILS TO THE EAST SIDE OF THE TRACK AND CONTINUED WALKING AL,ONG THE TIE ENDS. Q60908 STRUCK THE TRESPASSER AT THE CROSSING AND KNOCKED HIM AWAY FROM THE TRACKS., THE CONDUCTOR LOOKED BACK AND SAW THE THE TRESPASSER ROLLING AWAY AND THEN STOOD UP AND ATTEMPTED T,Q60908 WAS APPROACHING CROSSING AND SAW A TRESPASSER WALKING WITH HIS BACK TURNED TO THE TRAIN. THE ENGINEER BLEW THE HORN TO WARN THE TRESPASSER THE TRAIN WAS APPROACHING. UPON REACHING THE CROSSING THE TRESPASSER STEPPED FROM BETWEEN THE RAILS TO THE EAST SIDE OF THE TRACK AND CONTINUED WALKING AL ONG THE TIE ENDS. Q60908 STRUCK THE TRESPASSER AT THE CROSSING AND KNOCKED HIM AWAY FROM THE TRACKS.  THE CONDUCTOR LOOKED BACK AND SAW THE THE TRESPASSER ROLLING AWAY AND THEN STOOD UP AND ATTEMPTED T,PD,A,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111817,,,,,13,1,CSX,111817,,1,352102P,13,1,11,6,10,AM,OAKWORTH,MORGAN,1,3,,DECATUR,MILL ST,5,D,3,3,1,1,1,2,60,4,1,1,1,SINGLE MAIN,4,2,150,44,R,1,1,1,1,2,3,2,1,8,2000,2,1,0,1,1,2,1,1L,,0,,1020306,225,,2013,,Y,103,01C103,4,,,,,,40,1,2,,,0,1,0,0,0,0,Q51811 WITH LOCOMOTIVES CSXT 579 & CSXT 5396 STRUCK AN OCCUPIED VEHICLE AT MP 000 313.5 ON THE S AND," N A NORTH SUBDIVISION. THIS IS LOCATED AT MILL STREET CROSSING IN DECATUR, AL. PROTECTION ALSO AT C",ROSSING: ADVANCE WARNING.,,,"Q51811 WITH LOCOMOTIVES CSXT 579 & CSXT 5396 STRUCK AN OCCUPIED VEHICLE AT MP 000 313.5 ON THE S AND  N A NORTH SUBDIVISION. THIS IS LOCATED AT MILL STREET CROSSING IN DECATUR, AL. PROTECTION ALSO AT C ROSSING: ADVANCE WARNING.  ",S & N A NORTH,A,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111862,,,,,13,1,CSX,111862,,0,343932U,13,1,12,9,49,PM,LOUISVILLE,JEFFERSON,21,3,,LOUISVILLE,GRADE LANE,10,D,2,3,6,1,1,4,50,4,2,8,1,SINGLE MAIN,1,1,0,7,E,3,1,1,1,1,2,2,1,8,800,3,1,0,0,1,2,1,1L,,0,,1030611,299,,2013,,Y,111,21C111,4,,,,,,,1,2,,,0,0,0,0,0,0,THE DRIVER OF AN OLDER MODEL CHEVROLET SILVERADO PICKUP TRUCK DROVE AROUND GATES AT CROSSING AND WAS, STRUCK BY Y29012. THE DRIVER GOT OUT OF THE TRUCK AND LOOKED AT THE DAMAGE AND THEN LEFT THE SCENE,BEFORE HE COULD BE IDENTIFIED. AGE OF DRIVER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.,,,THE DRIVER OF AN OLDER MODEL CHEVROLET SILVERADO PICKUP TRUCK DROVE AROUND GATES AT CROSSING AND WAS  STRUCK BY Y29012. THE DRIVER GOT OUT OF THE TRUCK AND LOOKED AT THE DAMAGE AND THEN LEFT THE SCENE BEFORE HE COULD BE IDENTIFIED. AGE OF DRIVER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.  ,LOUISVILLE TERMINAL,A,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111868,,,,,13,1,CSX,111868,,0,344267S,13,1,13,6,18,PM,OWENSBORO,DAVIESS,21,3,,OWENSBORO,CRABTREE ST,5,A,2,3,1,1,1,4,43,4,3,1,1,SINGLE MAIN,2,2,33,23,E,4,1,1,2,2,2,2,3,8,2500,3,1,0,0,2,1,1,1L,,0,,2030611,133,,2013,,Y,59,21C059,4,,,,,,32,2,2,,,0,0,0,0,0,0,Q24413 STRUCK AN OCCUPIED AUTO AT CROSSING. NO INJURIES REPORTED. PROTECTION ALSO AT CROSSING: ADVAN,CE WARNING AND PAVEMENT MARKINGS.,,,,Q24413 STRUCK AN OCCUPIED AUTO AT CROSSING. NO INJURIES REPORTED. PROTECTION ALSO AT CROSSING: ADVAN CE WARNING AND PAVEMENT MARKINGS.   ,L H & STL,B,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111872,,,,,13,1,CSX,111872,,2,525916P,13,1,14,12,7,AM,CP 109,HAMPDEN,25,1,,WESTFIELD,FARMERS ROAD,0,E,3,1,1,1,1,2,37,4,4,1,1,SINGLE MAIN,4,3,78,39,R,4,,1,2,2,2,2,4,8,4000,2,1,0,2,2,2,1,1L,,0,,12,138,,2013,,N,13,25C013,4,,,,,,52,1,3,,,0,2,0,0,0,0,Q42213 WITH LEAD UNIT 710 STRUCK MOTOR VEHICLE THAT WAS STALLED ON CROSSING. THE DRIVER WAS INTOXICA,TED AND CITED BY THE WESTFIELD POLICE.,,,,Q42213 WITH LEAD UNIT 710 STRUCK MOTOR VEHICLE THAT WAS STALLED ON CROSSING. THE DRIVER WAS INTOXICA TED AND CITED BY THE WESTFIELD POLICE.   ,BERKSHIRE,C,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111918,,,,,13,1,CSX,111918,,0,050408J,13,1,15,6,0,AM,PALMETTO,COWETA,13,3,,PALMETTO,JOHNSTON CIRCLE,,C,4,4,1,1,1,2,57,4,2,1,1,SINGLE MAIN,4,1,78,40,E,1,,1,2,2,2,2,4,8,4000,3,1,0,0,1,2,1,1L,,0,,711,135,,2013,,Y,77,13C077,4,,,,,,55,1,2,,,0,0,0,0,0,0,Q60015 STRUCK A 2004 FREIGHTLINER SEMI TRACTOR TRAILER AT CROSSING. PROTECTION ALSO AT CROSSING: ADV,ANCE WARNING AND PAVEMENT MARKINGS.,,,,Q60015 STRUCK A 2004 FREIGHTLINER SEMI TRACTOR TRAILER AT CROSSING. PROTECTION ALSO AT CROSSING: ADV ANCE WARNING AND PAVEMENT MARKINGS.   ,AWP W OF A,A,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,111962,,,,,13,1,CSX,111962,,0,831223K,13,1,13,2,22,AM,MONTGOMERY,MONTGOMERY,1,3,,MONTGOMERY,N. COURT ST,30,A,2,3,1,1,2,4,66,4,2,7,2,NEW WAY,1,1,40,8,E,1,,1,2,1,1,2,3,3,2500,3,1,0,0,1,2,1,1L,,0,,711,179,,2013,,Y,101,01C101,4,,,,,,29,1,2,,,0,0,0,0,0,0,Y20212 WAS OCCUPYING CROSSING WHEN A 1998 HONDA ACCORD AUTOMOBILE STRUCK THE SIDE OF LEAD LOCOMOTIVE, CSXT 6359. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS.,,,,Y20212 WAS OCCUPYING CROSSING WHEN A 1998 HONDA ACCORD AUTOMOBILE STRUCK THE SIDE OF LEAD LOCOMOTIVE  CSXT 6359. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS.   ,AWP W OF A,A,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112004,,,,,13,1,CSX,112004,,1,532259T,13,1,16,12,10,PM,LA PLATA,CHARLES,24,2,,LA PLATA,CHARLES ST,5,A,3,3,4,1,1,4,35,2,3,9,1,SINGLE MAIN,3,0,1,5,E,1,7,1,2,2,2,2,3,8,7300,2,1,0,1,1,2,1,1L,,0,,1030611,147,,2013,,Y,17,24C017,4,,,,A,,77,1,1,,,0,1,0,0,0,0,"ENGINEERING DEPT VEHICLE #74174 (HI-RAIL)TRUCK FAILED TO YIELD AT A ROAD CROSSING,STRUCK OUTSIDE PAR","TY VEHICLE. OTHER: STOP LINES, RR XING SYMBOLS.",,,,"ENGINEERING DEPT VEHICLE #74174 (HI-RAIL)TRUCK FAILED TO YIELD AT A ROAD CROSSING,STRUCK OUTSIDE PAR TY VEHICLE. OTHER: STOP LINES, RR XING SYMBOLS.   ",POPES CREEK,B,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112016,,,,,13,1,CSX,112016,,0,926209F,13,1,17,9,50,AM,JACKSONVILLE,DUVAL,12,3,,JACKSONVILLE,AIRPORT CENTER DR,0,A,3,2,1,1,1,4,68,2,1,1,1,SINGLE MAIN,2,2,28,5,E,1,1,1,1,1,2,2,5,8,1000,3,2,0,0,1,2,1,1L,,0,,10203050611,161,,2013,,Y,31,12C031,4,,,,,,50,2,2,,,0,0,0,0,0,0,A79617 REPORTS STRIKING AUTO AT AIRPORT CENTER DRIVE CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE,WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).,,,,A79617 REPORTS STRIKING AUTO AT AIRPORT CENTER DRIVE CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS).   ,KINGSLAND,A,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112117,,,,,13,1,CSX,112117,,1,145252D,13,1,18,1,8,PM,JOHNSTOWN,CAMBRIA,42,2,,JOHNSTOWN,FERNDALE AVE,,K,1,3,1,1,1,4,25,2,1,1,1,SINGLE MAIN,1,2,21,10,E,3,1,1,2,2,,2,,8,0,,2,0,1,1,2,1,1L,,0,,30711,287,,2013,,Y,21,42C021,4,,,,,,25,1,3,,,0,1,0,0,0,0,"D70318 WAS APPROACHING CROSSING AT FERNDALE,CROSSING LIGHTS WERE ACTIVE AND CARS WERE STOPPING. COND","UCTOR NOTICED A TRESPASSER ON THE NORTH SIDE AS THEY ENTERED THE CROSSING, IMMEDIATELY PLACED THE TR","AIN INTO EMERGENCY, THE TRAIN STOPPED 1 ? LOCOMOTIVE LENGTHEN. OTHER:PAVEMENT MARKINGS.",,,"D70318 WAS APPROACHING CROSSING AT FERNDALE,CROSSING LIGHTS WERE ACTIVE AND CARS WERE STOPPING. COND UCTOR NOTICED A TRESPASSER ON THE NORTH SIDE AS THEY ENTERED THE CROSSING, IMMEDIATELY PLACED THE TR AIN INTO EMERGENCY, THE TRAIN STOPPED 1 ? LOCOMOTIVE LENGTHEN. OTHER:PAVEMENT MARKINGS.  ",S & C,A,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112199,,,,,13,1,CSX,112199,,0,224421G,13,1,22,1,15,PM,RICHMOND,GOOCHLAND,51,2,,RICHMOND,STATE FARM,0,C,1,2,1,1,1,4,22,2,1,1,1,SINGLE MAIN,3,1,27,29,E,3,,1,2,2,2,2,4,8,20000,3,1,0,0,1,2,1,1L,,0,,7,73,,2013,,N,75,51C075,4,,,,,,57,1,2,,,0,0,0,0,0,0,W95721 STRUCK TRACTOR TRAILER CAB WHO WAS FOULING TRACK WITH NOSE OF CAB.,,,,,W95721 STRUCK TRACTOR TRAILER CAB WHO WAS FOULING TRACK WITH NOSE OF CAB.    ,RIVANNA,A,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112213,,,,,13,1,CSX,112213,,0,351290D,13,1,22,3,9,PM,EVERGREEN,CONECUH,1,3,,EVERGREEN,BELLVILLE STREET,0,B,4,2,1,1,1,2,55,2,1,1,1,SINGLE MAIN,4,2,35,40,E,2,1,1,2,2,2,2,4,8,6500,3,1,0,0,1,2,1,1L,,0,,30611,222,,2013,,Y,35,01C035,4,,,,,,27,1,2,,,0,0,0,0,0,0,A CONECUH COUNTY EMPLOYEE DRIVING A 2007 FORD F150 PICKUP TRUCK WITH A TRAILER IN TOW WAS STOPPED AT, A STOP SIGN WITH THE TRAILER FOULING THE CROSSING AND WAS STRUCK BY Q52121. PROTECTION ALSO AT CROS,SING: ADVANCE WARNING.,,,A CONECUH COUNTY EMPLOYEE DRIVING A 2007 FORD F150 PICKUP TRUCK WITH A TRAILER IN TOW WAS STOPPED AT  A STOP SIGN WITH THE TRAILER FOULING THE CROSSING AND WAS STRUCK BY Q52121. PROTECTION ALSO AT CROS SING: ADVANCE WARNING.  ,M AND M,A,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112242,,,,,13,1,CSX,112242,,0,918343W,13,1,23,2,0,PM,WALPOLE,NORFOLK,25,1,,FOXBORO,PRIVATE ROAD,5,C,4,3,2,1,2,4,16,2,1,1,4,TRACK 1,1,1,1,2,R,4,,1,1,2,2,2,3,8,5000,3,1,0,0,1,2,1,1L,,0,,12,341,,2013,,N,21,25C021,4,,,,,,,1,2,,,0,0,0,0,0,0,B71023 WAS SHOVING TO SPOT CAR ON DOCK TRACK AT CERTAINTEED INDUSTRY. THE CONDUCTOR STOPPED THE TRAI,N AND WALKED TO THE CROSSING INSIDE THE PLANT AND MADE CERTAIN NO TRAFFIC WAS MOVING. HE PROCEEDED T,"O TELL THE ENGINEER TO SHOVE TWO CARS WHEN A TRUCK THAT WAS STATIONARY MADE A REVERSE MOVEMENT, STRI",KING A RAILCAR.  MOTORIST AGE IS UNKNOWN.,,"B71023 WAS SHOVING TO SPOT CAR ON DOCK TRACK AT CERTAINTEED INDUSTRY. THE CONDUCTOR STOPPED THE TRAI N AND WALKED TO THE CROSSING INSIDE THE PLANT AND MADE CERTAIN NO TRAFFIC WAS MOVING. HE PROCEEDED T O TELL THE ENGINEER TO SHOVE TWO CARS WHEN A TRUCK THAT WAS STATIONARY MADE A REVERSE MOVEMENT, STRI KING A RAILCAR.  MOTORIST AGE IS UNKNOWN. ",FRAMINGHAM,A,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1,CSX,112292,,,,,13,1,CSX,112292,,1,155645N,13,1,25,10,45,AM,GARY,LAKE,18,4,,GARY,CLARK RD,5,C,2,3,1,1,1,2,16,2,6,1,1,# 2 MAIN,4,2,25,55,E,3,1,1,2,2,2,1,1,8,5001,3,1,0,1,1,2,1,1L,,0,,1030607,100,,2013,,Y,89,18C089,4,,,,,,31,1,2,,,0,0,0,1,0,0,Q36825 EASTBOUND ON #2 MAIN STRUCK SEMI THAT WAS MOVING SOUTHBOUND OVER ROAD CROSSING AT CLARK ROAD.,,,,,Q36825 EASTBOUND ON #2 MAIN STRUCK SEMI THAT WAS MOVING SOUTHBOUND OVER ROAD CROSSING AT CLARK ROAD.    ,BARR,C,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
